stazPart,stazArr
VERONA,BOLZANO
VERONA,VENEZIA
VERONA,BOLZANO
FIUMICINO,ORTE
NAPOLI,SALERNO
LIVORNO,PONTREMOLI
NAPOLI,BENEVENTO
TORINO,MILANO
TORINO,BARDONECCHIA
TORINO,GENOVA
SALERNO,NAPOLI
GENOVA,LA SPEZIA
MILANO,LECCO
MILANO,DOMODOSSOLA
M,LAVENO
M,NOVARA
SARONNO,ALBAIRATE
SARONNO,LODI
FIRENZE,PISA
FIRENZE,SIENA
BOLOGNA,VERONA
BOLOGNA,VENEZIA
BOLOGNA,PORRETTA
VENEZIA,FERRARA
VENEZIA,UDINE
VENEZIA,VERONA
VENEZIA,VERONA
VENEZIA,UDINE
VENEZIA,TRIESTE
MILANO,TORINO
MILANO,BOZZOLO
MILANO,VERONA
MILANO,GENOVA
ROMA,ISERNIA
ROMA,CASSINO
BENEVENTO,CASERTA
LOCRI,CATANZARO
VITERBO,ROMA
ORTE,VITERBO
BRESCIA,EDOLO
BRENO,BRESCIA
EDOLO,BRESCIA
CUNEO,TORINO
CUNEO,TORINO
ALBA,TORINO
TORINO,ALBA
ALBA,TORINO
AVEZZANO,CAPISTRELLO
PIACENZA,MILANO
FOLIGNO,TERONTOLA
S.CANDIDO,MERANO
DOMODOSSOLA,MILANO
ARONA,MILANO
FOSSANO,TORINO
CEVA,TORINO
SULMONA,PESCARA
SULMONA,AVEZZANO
SULMONA,L`AQUILA
SULMONA,PESCARA
COSENZA,SAPRI
IGLESIAS,CAGLIARI
CAGLIARI,IGLESIAS
IGLESIAS,CAGLIARI
CAMPIGLIA,GROSSETO
PONTREMOLI,LA SPEZIA
AULLA,PIAZZA
ASCOLI,ANCONA
S.BENEDETTO,ANCONA
VENTIMIGLIA,IMPERIA
TERAMO,VASTO
PESCARA,TERAMO
SAPRI,NAPOLI
SAPRI,NAPOLI
RIETI,ROMA
LECCE,BARI
LECCE,BARI
BRINDISI,TARANTO
LECCO,SONDRIO
COLICO,CHIAVENNA
MACERATA,ANCONA
FOSSANO,LIMONE
CHIUSI,SIENA
CHIUSI,SIENA
TIVOLI,ROMA
ROMA,TIVOLI
PAVIA,VERCELLI
VERCELLI,PAVIA
MORTARA,MI.P.GENOVA
MORTARA,NOVARA
MELITO,VILLA
CIVITAVECCHIA,ROMA
CIVITAVECCHIA,ROMA
LADISPOLI-CERVETERI,ROMA
LADISPOLI-CERVETERI,PONTE
RAVENNA,FERRARA
RAVENNA,CASTELBOLOGNESE
ALCANTARA,SIRACUSA
CATANIA,TAORMINA
PIACENZA,MILANO
